iteration_number,total,kept (qt),kept (%),removed (qt),removed (%),flagged (qt),flagged (%)
1,6746,6431,95.33,315,4.67,0,0.0
2,6431,6197,96.36,234,3.64,0,0.0
3,6197,6026,97.24,171,2.76,0,0.0
4,6026,5886,97.68,140,2.32,0,0.0
